					
Titles	Views	Likes	Comments		
"Rớt nước mắt, khi nhìn thấy hoàn cảnh của người phụ nữ sống trong ngôi nhà rách nát te tua - tập 523"	"806,966"	"6,671"	295		
Nhặt được THIÊN THẦN ở bãi rác - tập 1461	"804,122"	"11,118"	"1,016"		
"2 VỢ CHỒNG trẻ dắt nhau vô rừng ở, HÁI RAU rừng ăn, để TỒN TẠI - tập 1206"	"803,131"	"8,264"	389		
"HÀNH TRÌNH xây dựng ƯỚC MƠ cho người MÙ, mấy chục năm sống trong BÓNG TỐI - tập 797"	"797,139"	"7,983"	594		
"Hai chú cháu bị căm điếc, ăn đậu bắp, lá cây dại, uống nước bùn sình để sống - tập 439"	"793,370"	"7,994"	718		
"CÔ GÁI xinh đẹp, ôm con chạy vô rừng, LỤM phân đổi GẠO ăn - tập 1056"	"789,915"	"8,750"	545		
"LỤM PHÂN đổi gạo, CÔ GÁI không biết cha là ai, HỌC GIỎI nhất miền núi - tập 1009"	"784,776"	"9,073"	579		
"TRÈO ĐÈO lội suối mang TRÁI CÂY rừng xuống núi, rinh vác CỰC KHỔ mà BÁN RẺ như cho - tập 863"	"782,375"	"9,216"	468		
"ĐỨA BÉ không biết CHA là ai, cuộc sống vất vả, lượm phân bò đổi CƠM GẠO - tập 877"	"781,792"	"9,128"	809		
"3 MẸ CON sống trong CĂN NHÀ rách nát TE TUA, ăn cơm với muối, BỮA ĐÓI, BỮA NO - tập 927"	"779,302"	"6,849"	218		
"Éo le cuộc tình, người phụ nữ có 6 đời chồng, 3 người còn sống, 3 người mất - tập 502"	"776,349"	"4,907"	246		
"Người phụ nữ, bỏ chồng bỏ con, sống ẩn cư trên núi, ăn chuối, ăn lá đu đủ thay cơm - tập 686"	"773,605"	"7,443"	500		
"KIỆT SỨC, vượt đèo dốc núi, lạc vào nơi khắc nghiệt, CHÓ ăn đá, GÀ ăn sỏi - tập 1032"	"773,283"	"11,045"	"1,006"		
"ĂN NGỦ ở trong rừng, ăn LÁ CÂY, uống nước suối, ƯỚC MƠ được nhìn thấy THÀNH PHỐ - tập 1011"	"748,066"	"7,936"	751		
Cô gái 14 tuổi lấy chồng sớm sống ẩn danh trên núi trong căn nhà rách nát - tập 515	"742,654"	"5,070"	197		
"Món quà ý nghĩa tặng cụ bà sống trong căn nhà rách nát với rắn rết, chuột, muỗi, kiến gián - tập 422"	"739,696"	"7,427"	465		
"Cụ bà 100 tuổi bật khóc, vì nhận món quà quá lớn, 100 năm có 1 lần - tập 653"	"737,040"	"11,373"	637		
"2 VỢ CHỒNG bị con cái đuổi ra BỤI CHUỐI ở, mặt trái của SỰ THẬT đã được SÁNG TỎ - tập 943"	"736,583"	"9,191"	"1,498"		
Hai mẹ con sống như người rừng được hỗ trợ thay đổi cuộc sống tốt hơn - tập 478	"732,920"	"6,609"	318		
"TRUY TÌM người phụ nữ SỐNG ẨN trong rừng ĂN LÁ, ăn khoai, để TỒN TẠI - tập 1081"	"732,717"	"12,837"	"1,190"		
"BỎ LÀNG, 2 vợ chồng trẻ tuổi nhất miền núi, chạy vô rừng ở ẩn - tập 1343"	"726,804"	"7,346"	408		
"2 MẸ CON bị chồng bỏ, chạy vô rừng kiếm cơm, sợ đàn ông VÔ TÂM - tập 1194"	"726,802"	"7,274"	345		
"Tặng nhà cho 3 chị em gái mồ côi, sống trong căn nhà tồi tàn, ăn lá cây, ăn khoai để sống - tập 436"	"726,296"	"7,184"	423		
"TƯƠNG LAI mịt mù, CÔ GÁI làm việc này, giữa BIỂN HỒ mênh mông để chăm nuôi MẸ GIÀ - tập 802"	"719,659"	"10,364"	627		
"3 MẸ CON sống nương tựa vào nhau, ăn ngủ ở trong CĂN NHÀ mục nát - tập 1214"	"717,254"	"7,349"	452		
